conversation_id	turn_id	id	query	original
81	1	81_1	How do you know when your garage door opener is going bad?	How do you know when your garage door opener is going bad?
81	2	81_2	Now the lights on a garage door opener stopped working. Why?	Now it stopped working. Why?
81	3	81_3	How much does it cost for someone to fix the lights on a garage door opener?	How much does it cost for someone to fix it?
81	4	81_4	How about replacing the light socket instead of the logic board?	How about replacing it instead?
81	5	81_5	How do I choose a new garage door opener?	How do I choose a new one?
81	6	81_6	What does a smart garage door opener do?	What does a smart one do?
81	7	81_7	What's important for me to know about garage door openers safety?	What's important for me to know about their safety?
81	8	81_8	How could garage door openers be hacked?	How could they be hacked?
82	1	82_1	I would like to learn about GMO Food labeling.	I would like to learn about GMO Food labeling.
82	2	82_2	What are the pros and cons of autoplay autoplay?	What are the pros and cons?
82	3	82_3	what are the cons of GMO Food labeling?	And what about the cons?
82	4	82_4	What are the EU rules for GMO Food labeling?	What are the EU rules?
82	5	82_5	Tell me more about traceability tools.	Tell me more about traceability tools.
82	6	82_6	What is the role of Co-Extra in the EU?	What is the role of Co-Extra?
82	7	82_7	How is testing done for contamination of GMO food?	How is testing done for contamination?
82	8	82_8	What's the difference between the European and US approaches to GMO labeling?	What's the difference between the European and US approaches?
82	9	82_9	How does the DNA-based method work for GMO food labeling?	How does the DNA-based method work?
82	10	82_10	How could Co-Extra improve GMO Food labeling?	How could Co-Extra improve it?
83	1	83_1	What are some interesting facts about bees?	What are some interesting facts about bees?
83	2	83_2	Why does honey never spoil?	Why doesn't it spoil?
83	3	83_3	Why are so many dying honeybees?	Why are so many dying?
83	4	83_4	What can be done to stop honey spoiling?	What can be done to stop it?
83	5	83_5	What has happened to honeybee habitat?	What has happened to their habitat?
83	6	83_6	What can I do to help with the problem of honeybees dying in America?	What can I do to help with the problem?
83	7	83_7	What is the cause of CCD in honeybees?	What is the cause of CCD?
83	8	83_8	What would happen if honey bees died out?	What would happen if they died out?
84	1	84_1	How does seed investment work for startups?	How does seed investment work for startups?
84	2	84_2	Tell me more about angel rounds for startups.	Tell me more about angel rounds.
84	3	84_3	How does seed money compare with crowdfunding?	How does it compare with crowdfunding?
84	4	84_4	How much is a typical A series round for a startup?	How much is a typical A series round?
84	5	84_5	What are the risks of investing in a startup?	What are the risks of investing?
84	6	84_6	What are the different types of instruments used by VCs?	What are the different types of instruments used by VCs?
85	1	85_1	How much does a used Lamborghini cost?	How much does a used Lamborghini cost?
85	2	85_2	How does a Lamborghini compare to a Ferrari?	How does it compare to a Ferrari?
85	3	85_3	What about for a pimped-out food truck?	Interesting. What about for a pimped-out food truck?
85	4	85_4	What licenses and permits are needed to drive a Lamborghini?	What licenses and permits are needed?
85	5	85_5	What makes a good location for a pimped-out food truck?	What makes a good location?
85	6	85_6	What is a typical day like for a food truck?	What is a typical day like?
85	7	85_7	How can I run a Lamborghini successfully?	How can I run it successfully?
85	8	85_8	What are some good examples to learn from running a successful food truck?	What are some good examples to learn from?
85	9	85_9	Besides inventive flavors, what made Lamborghini successful?	Besides inventive flavors, what made it successful?
86	1	86_1	What is the climate like in Utah?	What is the climate like in Utah?
86	2	86_2	How does Salt Lake City differ from St. George and Peter's Sink?	How does Salt Lake City differ?
86	3	86_3	What is Utah's main economic activity?	What is its main economic activity?
86	4	86_4	What was the impact of the 2002 games in Utah?	What was the impact of the 2002 games?
86	5	86_5	What were important ski locations used in Salt Lake City?	What were important ski locations used?
86	6	86_6	What are the important non-ski events that happen in Salt Lake City?	What are the important non-ski events that happen in the city?
86	7	86_7	What are some popular non-winter things to do in the area besides skiing?	What about some popular non-winter things to do in the area?
87	1	87_1	What are the different types of orange trees?	What are the different types of orange trees?
87	2	87_2	How can you tell blood oranges apart?	How can you tell them apart?
87	3	87_3	What type of orange has thorns?	What type has thorns?
87	4	87_4	Where do blood oranges originally come from?	Where do they originally come from?
87	5	87_5	Tell me about the Hamlin variety.	Tell me about the Hamlin variety.
87	6	87_6	Why did Hamlin orange replace PB in Florida?	Why did it replace PB?
87	7	87_7	What are the different types of navels in orange trees?	What are the different types of navels?
87	8	87_8	Which orange is the most delicious in Florida and the rest of the world?	Which is the most delicious?
87	9	87_9	How do CARA CARA NAVEL ORANGES compare with blood oranges?	How do they compare with blood oranges?
88	1	88_1	Can I have some information on the labor systems of the Ottoman Empire?	Can I have some information on the labor systems of the Ottoman Empire?
88	2	88_2	What was the role of slavery in the Ottoman Empire?	What was the role of slavery?
88	3	88_3	How did the Ottoman Empire govern?	How did it govern?
